-52.68997,47.57273,"Johnson Geo Centre"
-52.71184,47.56624,"The Rooms"
-52.73261,47.57983,"The Fluvarium"
-63.56583,44.63778,"Pier 21"
-70.245,43.6625,"Maine Narrow Gauge Railroad Museum"
-70.96989,42.24403,"USS Salem (CA-139)"
-71.16307,41.70569,"USS Joseph P. Kennedy, Jr. (DD-850)"
-71.16292,41.70607,"USS Lionfish (SS-298)"
-70.76674,43.08238,"USS Albacore (AGSS-569)"
-71.30465,41.46498,"Rosecliff"
-71.05783,42.35871,"Old State House (Boston)"
-71.05447,42.37218,"USS Cassin Young (DD-793)"
-71.06222,42.35806,"Boston AthenÊum"
-71.09417,42.33917,"Museum of Fine Arts Boston"
-71.96528,41.3625,"Joseph Conrad (ship)"
-72.67342,41.76351,"Wadsworth Atheneum"
-73.3691,40.9063,"Vanderbilt Museum"
-73.21361,42.70778,"Clark Art Institute"
-73.87666,40.86235,"New York Botanical Garden"
-73.9435,40.7765,"Gracie Mansion"
-73.9233,40.8674,"Dyckman House"
-73.98083,40.63556,"Living Torah Museum"
-73.9319,40.86484,"The Cloisters"
-73.95968,40.76053,"Mount Vernon Hotel Museum"
-73.9582,40.7844,"Cooper-Hewitt National Design Museum"
-73.96056,40.78139,"Neue Galerie"
-73.96311,40.77945,"Metropolitan Museum of Art"
-73.9675,40.77111,"Frick Collection"
-73.98309,40.71594,"Bialystoker Synagogue"
-73.98556,40.71917,"ABC No Rio"
-73.97833,40.75194,"Whitney Museum of American Art"
-73.97417,40.78103,"American Museum of Natural History"
-73.9926,40.72825,"Merchant's House Museum"
-73.99944,40.71611,"Museum of Chinese in the Americas"
-74.00306,40.70528,"Peking (ship)"
-74.00303,40.70623,"South Street Seaport"
-74.01139,40.70338,"Fraunces Tavern"
-74.00694,40.72583,"New York City Fire Museum"
-73.99999,40.76511,"USS Growler (SSG-577)"
-74.00076,40.76483,"Intrepid Sea-Air-Space Museum"
-74.03962,40.88011,"USS Ling (SS-297)"
-74.03993,40.88013,"New Jersey Naval Museum"
-73.74972,42.6425,"USS Slater (DE-766)"
-73.76037,42.65577,"Albany Institute of History & Art"
-74.44586,40.50002,"Jane Voorhees Zimmerli Art Museum"
-75.13299,39.93944,"USS New Jersey (BB-62)"
-75.14023,39.94627,"Independence Seaport Museum"
-75.14118,39.94355,"USS Becuna (SS-319)"
-75.17237,39.958,"Franklin Institute"
-75.1802,39.9649,"Rocky Steps"
-75.18105,39.96565,"Philadelphia Museum of Art"
-75.1911,39.949,"University of Pennsylvania Museum of Archaeology and Anthropology"
-75.15,40.21667,"Graeme Park"
-75.47083,40.50389,"Washington Crossing Historic Park"
-76.29583,36.84833,"USS Wisconsin (BB-64)"
-76.56993,39.26789,"SS John W. Brown"
-76.60629,39.28581,"USCGC Taney (WHEC-37)"
-76.6087,39.28498,"USS Torsk (SS-423)"
-76.60878,39.2857,"Lightship Chesapeake"
-76.9963,38.87158,"USS Barry (DD-933)"
-77.01639,38.88833,"National Museum of the American Indian"
-77.02,38.88833,"National Air and Space Museum"
-77.01981,38.89127,"National Gallery of Art"
-77.02917,38.9,"National Museum of Women in the Arts"
-77.0861,38.7079,"Mount Vernon"
-75.62023,45.40345,"Canada Science and Technology Museum"
-77.05141,38.9141,"Woodrow Wilson House"
-75.64293,45.45772,"Canada and the World Pavilion"
-75.67808,45.42766,"Laurier House"
-75.68875,45.41266,"Canadian Museum of Nature"
-75.69139,45.41583,"Canadian Museums Association"
-75.69776,45.42581,"Bytown Museum"
-75.69866,45.42292,"Portrait Gallery of Canada"
-75.70908,45.38777,"Canada Agriculture Museum"
-75.69839,45.42943,"National Gallery of Canada"
